59,67,21,54,47,62,68,63,53,28,72,54,48,54,20,3,-6,32,17,58,67,65,3,34,3,15,61,11,69,37,41,75,53,37,31,32,35,-6,20,26,62,45,-7,69,44,71,48,33,65,48,33,80,36,18,38,15,59,46,16,57,55,24,45,-5,3,65,76,38,61,-2,4,10,47,-7,10,-3,2,9,-7,37,10,13,61,76,68,0,16,15,51,74,59,44,43,26,40,42,45,41,25,18
-2,13,9,67,6,18,63,15,21,15,53,-5,45,52,53,-7,-2,5,50,16,7,13,68,29,45,2,44,-4,11,65,15,5,62,54,14,34,79,24,43,73,12,74,51,9,77,55,76,36,45,36,53,67,-7,67,4,0,37,4,54,6,69,60,34,13,20,66,38,62,37,76,50,67,78,2,31,20,41,6,78,79,14,71,55,68,62,3,21,68,-6,38,36,9,17,40,71,23,53,49,0,3
20,-6,47,-2,22,-2,5,-1,2,-3,69,31,12,3,67,32,21,57,77,30,6,67,50,40,50,64,59,23,47,26,-4,62,19,75,68,51,48,28,61,43,58,73,33,54,75,38,27,72,72,7,14,44,12,3,5,23,58,13,35,20,36,8,53,57,80,59,44,12,60,17,9,80,66,62,22,45,4,31,47,-5,38,34,72,-1,70,74,-5,45,12,27,47,22,1,4,23,61,70,63,78,21
11,64,-5,72,7,2,51,33,58,50,5,36,8,68,63,0,67,23,70,15,45,26,54,52,23,47,74,50,14,67,60,9,-3,75,38,78,63,27,51,70,63,1,80,2,75,40,40,63,18,32,58,21,33,63,8,71,49,9,15,9,43,69,51,52,-2,49,32,-4,71,52,22,43,80,8,73,1,15,46,77,36,39,-5,29,33,64,44,1,47,64,11,63,25,-5,38,66,80,11,31,43,0
-2,53,55,50,41,64,66,43,76,74,69,70,12,8,51,33,6,80,48,74,21,58,22,25,4,31,64,-2,-3,12,10,58,8,24,-4,1,-3,27,3,71,34,63,57,79,66,-7,59,8,1,44,34,79,61,-4,69,47,58,21,2,57,-5,-6,14,29,35,41,48,42,60,4,39,8,10,-4,67,-2,44,75,29,33,56,67,4,66,1,-3,35,35,46,35,4,79,49,80,14,68,45,1,6,77
34,51,60,11,-7,48,19,-7,36,75,0,64,20,-1,29,14,11,34,64,79,49,24,71,41,24,30,19,15,27,78,2,23,38,22,-1,41,4,-1,33,-2,59,13,24,56,16,20,52,17,61,67,14,51,51,15,-5,49,70,29,4,7,73,23,19,46,43,11,72,70,38,50,33,28,76,27,9,26,25,13,66,-1,-2,80,12,49,45,75,51,28,78,20,75,39,-4,16,70,37,48,61,63,56
76,78,69,16,78,65,19,65,74,51,53,53,-3,55,9,12,58,33,58,-6,56,26,80,69,79,17,10,-5,2,71,-4,46,61,68,71,49,24,19,54,41,6,68,35,73,-3,75,10,53,30,54,79,55,19,9,66,-7,43,45,72,18,-2,78,48,66,24,40,60,31,0,64,78,62,78,39,25,41,41,56,50,71,6,24,20,70,24,21,60,23,56,4,17,4,8,18,55,36,12,-7,65,-6
28,9,43,79,64,35,46,39,13,31,13,77,48,80,57,44,32,39,49,38,72,50,8,16,19,4,20,51,24,8,57,66,45,51,80,38,17,0,28,66,4,70,43,73,-4,59,74,30,9,45,57,22,36,17,62,22,-2,15,18,62,37,79,49,49,54,60,52,64,3,21,0,21,45,-7,0,30,26,-1,2,46,45,11,-3,22,9,78,-6,61,17,2,45,0,52,21,80,3,67,-5,16,48
37,66,41,79,71,79,30,51,10,57,37,2,45,54,24,36,74,57,52,34,20,64,42,73,76,63,59,42,74,50,75,40,16,47,44,40,37,70,46,71,67,39,0,14,20,12,46,40,16,-4,62,72,31,-3,40,12,60,-2,48,17,1,11,50,-7,42,21,14,52,13,30,48,41,43,20,6,56,60,28,31,28,30,32,15,70,20,-7,46,16,55,43,1,45,72,-6,-3,-1,43,37,35,34
66,17,68,69,39,64,0,16,78,41,57,-6,63,39,23,9,79,28,-4,60,5,68,7,1,15,26,55,61,43,16,67,56,59,28,3,18,-7,76,0,27,44,63,34,74,57,31,25,53,12,32,35,27,74,76,53,64,50,34,57,43,24,27,69,38,73,73,75,18,51,42,33,42,26,-4,60,32,55,44,34,-6,-2,45,55,80,48,15,9,20,77,21,37,60,54,21,70,43,37,33,46,25
55,16,80,45,61,16,48,23,30,80,70,16,21,22,23,6,50,63,40,2,76,55,-5,62,77,45,23,65,76,15,12,25,77,54,-6,37,69,54,48,66,79,33,1,63,1,16,-3,42,22,57,41,30,41,16,22,36,80,72,56,72,80,-1,20,10,51,51,70,-5,3,42,14,-7,60,58,54,51,34,59,73,61,23,1,-1,6,68,11,1,3,11,5,-2,6,30,31,70,35,61,60,55,70
